date_,close_tsla,high_tsla,low_tsla,open_tsla,volume_tsla
7/20/2020,$109.53 ,$110.00 ,$99.20 ,$101.27 ,"$256,821,000.00 "
7/21/2020,$104.56 ,$111.67 ,$103.87 ,$109.33 ,"$241,608,000.00 "
7/22/2020,$106.16 ,$108.43 ,$104.13 ,$106.60 ,"$212,416,500.00 "
7/23/2020,$100.87 ,$112.60 ,$98.72 ,$111.93 ,"$364,927,500.00 "
7/24/2020,$94.47 ,$97.67 ,$91.10 ,$94.40 ,"$290,949,000.00 "
7/27/2020,$102.64 ,$103.20 ,$94.20 ,$95.67 ,"$240,730,500.00 "
7/28/2020,$98.43 ,$104.31 ,$98.29 ,$100.27 ,"$237,130,500.00 "
7/29/2020,$99.94 ,$102.32 ,$99.13 ,$100.07 ,"$141,403,500.00 "
7/30/2020,$99.17 ,$100.88 ,$98.07 ,$99.20 ,"$114,315,000.00 "
7/31/2020,$95.38 ,$101.14 ,$94.73 ,$101.00 ,"$183,123,000.00 "
8/3/2020,$99.00 ,$100.65 ,$96.29 ,$96.61 ,"$132,139,500.00 "
8/4/2020,$99.13 ,$101.83 ,$97.47 ,$99.67 ,"$126,225,000.00 "
8/5/2020,$99.00 ,$99.99 ,$97.89 ,$99.53 ,"$74,217,000.00 "
8/6/2020,$99.31 ,$101.15 ,$98.48 ,$99.39 ,"$89,884,500.00 "
8/7/2020,$96.85 ,$99.98 ,$94.33 ,$99.97 ,"$133,446,000.00 "
8/10/2020,$94.57 ,$97.17 ,$92.39 ,$96.53 ,"$112,834,500.00 "
8/11/2020,$91.63 ,$94.67 ,$91.00 ,$93.07 ,"$129,387,000.00 "
8/12/2020,$103.65 ,$105.67 ,$95.67 ,$98.00 ,"$327,441,000.00 "
8/13/2020,$108.07 ,$110.08 ,$104.48 ,$107.40 ,"$306,379,500.00 "
8/14/2020,$110.05 ,$111.25 ,$108.44 ,$111.00 ,"$188,664,000.00 "
8/17/2020,$122.38 ,$123.06 ,$111.52 ,$111.80 ,"$303,634,500.00 "
8/18/2020,$125.81 ,$128.26 ,$123.01 ,$126.60 ,"$247,117,500.00 "
8/19/2020,$125.24 ,$127.40 ,$122.75 ,$124.33 ,"$183,079,500.00 "
8/20/2020,$133.46 ,$134.80 ,$123.80 ,$124.05 ,"$309,177,000.00 "
8/21/2020,$136.67 ,$139.70 ,$135.00 ,$136.32 ,"$322,344,000.00 "
8/24/2020,$134.28 ,$141.93 ,$128.50 ,$141.75 ,"$300,954,000.00 "
8/25/2020,$134.89 ,$135.20 ,$131.20 ,$131.66 ,"$159,883,500.00 "
8/26/2020,$143.54 ,$144.40 ,$136.91 ,$137.33 ,"$213,591,000.00 "
8/27/2020,$149.25 ,$153.04 ,$142.83 ,$145.36 ,"$355,395,000.00 "
8/28/2020,$147.56 ,$154.57 ,$145.77 ,$153.01 ,"$301,218,000.00 "
8/31/2020,$166.11 ,$166.71 ,$146.70 ,$148.20 ,"$355,123,200.00 "
9/1/2020,$158.35 ,$167.50 ,$156.84 ,$167.38 ,"$269,523,300.00 "
9/2/2020,$149.12 ,$159.68 ,$135.04 ,$159.66 ,"$288,528,300.00 "
9/3/2020,$135.67 ,$143.93 ,$134.00 ,$135.74 ,"$262,788,300.00 "
9/4/2020,$139.44 ,$142.67 ,$124.01 ,$134.27 ,"$330,965,700.00 "
9/8/2020,$110.07 ,$122.91 ,$109.96 ,$118.67 ,"$346,397,100.00 "
9/9/2020,$122.09 ,$123.00 ,$113.84 ,$118.87 ,"$238,397,400.00 "
9/10/2020,$123.78 ,$133.00 ,$120.19 ,$128.74 ,"$254,791,800.00 "
9/11/2020,$124.24 ,$127.50 ,$120.17 ,$127.31 ,"$182,152,500.00 "
9/14/2020,$139.87 ,$140.00 ,$124.43 ,$126.98 ,"$249,061,800.00 "
9/15/2020,$149.92 ,$153.98 ,$143.57 ,$145.52 ,"$291,894,600.00 "
9/16/2020,$147.25 ,$152.60 ,$145.10 ,$146.62 ,"$216,837,900.00 "
9/17/2020,$141.14 ,$145.93 ,$136.00 ,$138.53 ,"$230,337,600.00 "
9/18/2020,$147.38 ,$150.33 ,$142.93 ,$149.31 ,"$259,220,400.00 "
9/21/2020,$149.80 ,$151.89 ,$135.69 ,$151.04 ,"$328,430,400.00 "
9/22/2020,$141.41 ,$145.92 ,$139.20 ,$143.20 ,"$238,742,400.00 "
9/23/2020,$126.79 ,$137.38 ,$125.29 ,$135.05 ,"$285,222,600.00 "
9/24/2020,$129.26 ,$133.17 ,$117.10 ,$121.27 ,"$289,683,300.00 "
9/25/2020,$135.78 ,$136.24 ,$130.43 ,$131.16 ,"$201,625,500.00 "
9/28/2020,$140.40 ,$142.69 ,$138.52 ,$141.54 ,"$149,158,800.00 "
9/29/2020,$139.69 ,$142.83 ,$137.20 ,$138.67 ,"$150,657,900.00 "
9/30/2020,$143.00 ,$144.64 ,$140.16 ,$140.44 ,"$144,436,800.00 "
10/1/2020,$149.39 ,$149.63 ,$144.81 ,$146.92 ,"$152,224,500.00 "
10/2/2020,$138.36 ,$146.38 ,$138.33 ,$140.46 ,"$214,290,000.00 "
10/5/2020,$141.89 ,$144.55 ,$139.78 ,$141.12 ,"$134,168,400.00 "
10/6/2020,$137.99 ,$142.93 ,$135.35 ,$141.26 ,"$147,438,900.00 "
10/7/2020,$141.77 ,$143.30 ,$137.95 ,$139.96 ,"$129,383,100.00 "
10/8/2020,$141.97 ,$146.33 ,$141.77 ,$146.15 ,"$121,263,300.00 "
10/9/2020,$144.67 ,$144.86 ,$142.15 ,$143.38 ,"$86,777,100.00 "
10/12/2020,$147.43 ,$149.58 ,$146.19 ,$147.33 ,"$116,373,300.00 "
10/13/2020,$148.88 ,$149.63 ,$145.53 ,$147.78 ,"$103,391,100.00 "
10/14/2020,$153.77 ,$155.30 ,$149.12 ,$149.93 ,"$143,639,100.00 "
10/15/2020,$149.63 ,$152.19 ,$147.50 ,$150.10 ,"$107,017,200.00 "
10/16/2020,$146.56 ,$151.98 ,$146.28 ,$151.48 ,"$98,327,700.00 "
10/19/2020,$143.61 ,$149.00 ,$142.96 ,$148.75 ,"$108,863,400.00 "
10/20/2020,$140.65 ,$143.92 ,$139.68 ,$143.92 ,"$94,968,900.00 "
10/21/2020,$140.88 ,$144.32 ,$140.42 ,$140.90 ,"$97,111,500.00 "
10/22/2020,$141.93 ,$148.41 ,$141.50 ,$147.31 ,"$119,979,600.00 "
10/23/2020,$140.21 ,$140.96 ,$135.79 ,$140.61 ,"$101,151,000.00 "
10/26/2020,$140.09 ,$141.92 ,$136.67 ,$137.21 ,"$84,717,600.00 "
10/27/2020,$141.56 ,$143.50 ,$140.03 ,$141.25 ,"$68,059,500.00 "
10/28/2020,$135.34 ,$139.53 ,$135.33 ,$138.83 ,"$76,354,200.00 "
10/29/2020,$136.94 ,$139.35 ,$135.49 ,$136.65 ,"$67,965,900.00 "
10/30/2020,$129.35 ,$135.86 ,$126.37 ,$135.63 ,"$127,533,900.00 "
